
================================================================================
Table: POS_CASH_balance.csv | Rows: 10,001,358 | Columns: 8
                       null_count  null_percentage
EXT_SOURCE_1                      173378            56.38
NONLIVINGAREA_MEDI                169682            55.18
NONLIVINGAREA_AVG                 169682            55.18
NONLIVINGAREA_MODE                169682            55.18
ELEVATORS_MEDI                    163891            53.30
ELEVATORS_MODE                    163891            53.30
ELEVATORS_AVG                     163891            53.30
WALLSMATERIAL_MODE                156341            50.84
APARTMENTS_AVG                    156061            50.75
APARTMENTS_MEDI                   156061            50.75
APARTMENTS_MODE                   156061            50.75
ENTRANCES_MODE                    154828            50.35
ENTRANCES_MEDI                    154828            50.35
ENTRANCES_AVG                     154828            50.35
LIVINGAREA_AVG                    154350            50.19
LIVINGAREA_MODE                   154350            50.19
LIVINGAREA_MEDI                   154350            50.19
HOUSETYPE_MODE                    154297            50.18
FLOORSMAX_AVG                     153020            49.76
FLOORSMAX_MEDI                    153020            49.76
FLOORSMAX_MODE                    153020            49.76
YEARS_BEGINEXPLUATATION_MODE      150007            48.78
YEARS_BEGINEXPLUATATION_MEDI      150007            48.78
YEARS_BEGINEXPLUATATION_AVG       150007            48.78
TOTALAREA_MODE                    148431            48.27
EMERGENCYSTATE_MODE               145755            47.40
OCCUPATION_TYPE                    96391            31.35
EXT_SOURCE_3                       60965            19.83
AMT_REQ_CREDIT_BUREAU_WEEK         41519            13.50
AMT_REQ_CREDIT_BUREAU_MON          41519            13.50
AMT_REQ_CREDIT_BUREAU_HOUR         41519            13.50
AMT_REQ_CREDIT_BUREAU_YEAR         41519            13.50
AMT_REQ_CREDIT_BUREAU_QRT          41519            13.50
AMT_REQ_CREDIT_BUREAU_DAY          41519            13.50
NAME_TYPE_SUITE                     1292             0.42
DEF_30_CNT_SOCIAL_CIRCLE            1021             0.33
DEF_60_CNT_SOCIAL_CIRCLE            1021             0.33
OBS_30_CNT_SOCIAL_CIRCLE            1021             0.33
OBS_60_CNT_SOCIAL_CIRCLE            1021             0.33
EXT_SOURCE_2                         660             0.21
AMT_GOODS_PRICE                      278             0.09
AMT_ANNUITY                           12             0.00
CNT_FAM_MEMBERS                        2             0.00
DAYS_LAST_PHONE_CHANGE                 1             0.00
./../data/raw/bureau.csv

================================================================================
Table: bureau.csv | Rows: 1,716,428 | Columns: 17
                        null_count  null_percentage
AMT_ANNUITY                1226791            71.47
AMT_CREDIT_MAX_OVERDUE     1124488            65.51
DAYS_ENDDATE_FACT           633653            36.92
AMT_CREDIT_SUM_LIMIT        591780            34.48
AMT_CREDIT_SUM_DEBT         257669            15.01
DAYS_CREDIT_ENDDATE         105553             6.15
AMT_CREDIT_SUM                  13             0.00
./../data/raw/bureau_balance.csv

================================================================================
Table: bureau_balance.csv | Rows: 27,299,925 | Columns: 3
No null values found.
./../data/raw/credit_card_balance.csv

================================================================================
Table: credit_card_balance.csv | Rows: 3,840,312 | Columns: 23
                            null_count  null_percentage
AMT_PAYMENT_CURRENT             767988            20.00
AMT_DRAWINGS_ATM_CURRENT        749816            19.52
AMT_DRAWINGS_OTHER_CURRENT      749816            19.52
AMT_DRAWINGS_POS_CURRENT        749816            19.52
CNT_DRAWINGS_ATM_CURRENT        749816            19.52
CNT_DRAWINGS_POS_CURRENT        749816            19.52
CNT_DRAWINGS_OTHER_CURRENT      749816            19.52
AMT_INST_MIN_REGULARITY         305236             7.95
CNT_INSTALMENT_MATURE_CUM       305236             7.95
./../data/raw/installments_payments.csv

================================================================================
Table: installments_payments.csv | Rows: 13,605,401 | Columns: 8
                    null_count  null_percentage
DAYS_ENTRY_PAYMENT        2905             0.02
AMT_PAYMENT               2905             0.02
./../data/raw/previous_application.csv

================================================================================
Table: previous_application.csv | Rows: 1,670,214 | Columns: 37
                           null_count  null_percentage
RATE_INTEREST_PRIVILEGED      1664263            99.64
RATE_INTEREST_PRIMARY         1664263            99.64
AMT_DOWN_PAYMENT               895844            53.64
RATE_DOWN_PAYMENT              895844            53.64
NAME_TYPE_SUITE                820405            49.12
DAYS_LAST_DUE                  673065            40.30
DAYS_FIRST_DRAWING             673065            40.30
DAYS_FIRST_DUE                 673065            40.30
DAYS_TERMINATION               673065            40.30
NFLAG_INSURED_ON_APPROVAL      673065            40.30
DAYS_LAST_DUE_1ST_VERSION      673065            40.30
AMT_GOODS_PRICE                385515            23.08
AMT_ANNUITY                    372235            22.29
CNT_PAYMENT                    372230            22.29
PRODUCT_COMBINATION               346             0.02
AMT_CREDIT                          1             0.00
